score_name,method_family,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,n_lops,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
base_margin_m1.2_e5,base_margin,2,150,75,1.5,3,6,False,250.0,225,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,50,2.0,3,6,False,250.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,50,2.0,3,6,False,250.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,50,2.0,3,6,False,250.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,50,2.0,3,6,False,250.0,300,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,50,2.0,3,6,False,254.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,50,2.0,3,6,False,254.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,50,2.0,3,6,False,254.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,50,2.0,3,6,False,254.16666666666666,350,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,100,1.25,3,6,False,254.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,100,1.25,3,6,False,254.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,100,1.25,3,6,False,254.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,100,1.25,3,6,False,254.33333333333334,197,86,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,100,1.5,3,6,False,256.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,100,1.5,3,6,False,256.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,100,1.5,3,6,False,256.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,100,1.5,3,6,False,256.5,188,59,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,75,1.25,3,6,False,257.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,75,1.25,3,6,False,257.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,75,1.25,3,6,False,257.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,75,1.25,3,6,False,257.3333333333333,219,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,100,1.5,3,6,False,258.3333333333333,225,118,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,100,1.5,3,6,False,258.3333333333333,225,118,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,100,1.5,3,6,False,258.3333333333333,225,118,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,100,1.5,3,6,False,258.3333333333333,225,118,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,75,2.0,3,6,False,262.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,75,2.0,3,6,False,262.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,75,2.0,3,6,False,262.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,75,2.0,3,6,False,262.5,250,59,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,100,1.25,3,6,False,262.6666666666667,188,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,100,1.25,3,6,False,262.6666666666667,188,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,100,1.25,3,6,False,262.6666666666667,188,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,100,1.25,3,6,False,262.6666666666667,188,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,75,1.5,3,6,False,264.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,75,1.5,3,6,False,264.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,75,1.5,3,6,False,264.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,75,1.5,3,6,False,264.6666666666667,263,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,100,2.0,3,6,False,266.6666666666667,200,84,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,100,2.0,3,6,False,266.6666666666667,200,84,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,100,2.0,3,6,False,266.6666666666667,200,84,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,100,2.0,3,6,False,266.6666666666667,200,84,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,100,1.5,3,6,False,275.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,100,1.5,3,6,False,275.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,100,1.5,3,6,False,275.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,100,1.5,3,6,False,275.0,225,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,75,2.0,3,6,False,275.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,75,2.0,3,6,False,275.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,75,2.0,3,6,False,275.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,75,2.0,3,6,False,275.0,300,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,75,2.0,3,6,False,279.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,75,2.0,3,6,False,279.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,75,2.0,3,6,False,279.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,75,2.0,3,6,False,279.1666666666667,350,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,100,1.25,3,6,False,282.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,100,1.25,3,6,False,282.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,100,1.25,3,6,False,282.3333333333333,219,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,100,1.25,3,6,False,282.3333333333333,219,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,100,2.0,3,6,False,287.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,100,2.0,3,6,False,287.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,100,2.0,3,6,False,287.5,250,59,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,100,2.0,3,6,False,287.5,250,59,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,100,1.5,3,6,False,289.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,100,1.5,3,6,False,289.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,100,1.5,3,6,False,289.6666666666667,263,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,100,1.5,3,6,False,289.6666666666667,263,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,100,2.0,3,6,False,300.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,100,2.0,3,6,False,300.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,100,2.0,3,6,False,300.0,300,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,100,2.0,3,6,False,300.0,300,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,100,2.0,3,6,False,304.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,100,2.0,3,6,False,304.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,100,2.0,3,6,False,304.1666666666667,350,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,100,2.0,3,6,False,304.1666666666667,350,9,0.7983897196733317,1.0
